trade_date,commid,open_price,high_price,low_price,close_price,clear_price,vol,hold
2015-1-5,CF1501,12585,13645,12585,12925,12905,3198,25648
2015-1-5,CF1503,13215,13215,12830,12920,13020,94,1094
2015-1-5,CF1505,13040,13080,12890,13030,13010,247762,473520
2015-1-5,CF1507,13205,13205,13040,13130,13155,56,1392
2015-1-5,CF1509,13370,13430,13230,13375,13350,21034,77714
2015-1-5,CF1511,13550,13580,13465,13560,13535,114,574
2015-1-6,CF1501,12910,13000,12910,12980,12990,1154,25112
2015-1-6,CF1503,12930,13010,12925,12990,12975,320,880
2015-1-6,CF1505,13020,13150,13015,13110,13090,174140,478214
2015-1-6,CF1507,13150,13160,13140,13160,13160,146,1248
2015-1-6,CF1509,13365,13480,13355,13445,13420,15120,78184
2015-1-6,CF1511,13555,13665,13540,13620,13580,128,656
2015-1-7,CF1501,13040,13040,12985,13030,13000,3208,22498
2015-1-7,CF1503,12995,13045,12980,13030,13010,142,808
2015-1-7,CF1505,13120,13210,13050,13070,13130,193080,474024
2015-1-7,CF1507,13215,13255,13150,13160,13190,28,1244
2015-1-7,CF1509,13440,13540,13370,13410,13450,25560,78838
2015-1-7,CF1511,13650,13695,13575,13625,13630,60,660
2015-1-8,CF1501,12980,13100,12980,13010,13045,750,21816
2015-1-8,CF1503,13050,13100,12980,13035,13060,14,814
2015-1-8,CF1505,13080,13180,13035,13145,13125,174134,479466
2015-1-8,CF1507,13155,13225,13155,13210,13190,16,1244
2015-1-8,CF1509,13410,13515,13370,13490,13465,16354,81140
2015-1-8,CF1511,13560,13665,13550,13660,13595,62,656
2015-1-9,CF1501,13090,13090,13025,13050,13050,694,21070
2015-1-9,CF1503,13085,13095,13030,13050,13065,18,822
2015-1-9,CF1505,13165,13190,13080,13110,13130,132142,469210
2015-1-9,CF1507,13230,13230,13180,13180,13200,14,1242
2015-1-9,CF1509,13500,13525,13425,13450,13465,9854,81330
2015-1-9,CF1511,13665,13670,13620,13640,13645,24,652
2015-1-12,CF1501,13080,13140,13030,13030,13090,3126,18510
2015-1-12,CF1503,13095,13135,13050,13090,13095,100,892
2015-1-12,CF1505,13130,13150,13055,13085,13105,143944,469506
2015-1-12,CF1507,0,0,0,0,13180,0,1242
2015-1-12,CF1509,13470,13495,13405,13440,13450,10630,80186
2015-1-12,CF1511,13665,13690,13630,13630,13655,14,652
2015-1-13,CF1501,12980,12990,12860,12860,12920,1342,17320
2015-1-13,CF1503,12995,12995,12920,12920,12965,130,842
2015-1-13,CF1505,13050,13080,12905,12910,12980,284468,436884
2015-1-13,CF1507,13130,13130,13045,13050,13090,108,1236
2015-1-13,CF1509,13410,13435,13280,13280,13340,21526,80120
2015-1-13,CF1511,13590,13615,13545,13545,13580,70,640
2015-1-14,CF1501,12845,12930,12815,12890,12870,1876,17258
2015-1-14,CF1503,12910,12950,12910,12950,12930,24,836
2015-1-14,CF1505,12900,12970,12860,12890,12910,199174,422086
2015-1-14,CF1507,12985,13070,12975,13070,13010,6,1238
2015-1-14,CF1509,13280,13350,13235,13280,13295,18918,80596
2015-1-14,CF1511,13520,13600,13520,13550,13555,74,654
2015-1-15,CF1501,12900,12980,12850,12850,12940,452,16370
2015-1-15,CF1503,12950,12950,12950,12950,12950,24,858
2015-1-15,CF1505,12875,12995,12860,12970,12925,203934,420962
2015-1-15,CF1507,13005,13095,13000,13095,13035,6,1238
2015-1-15,CF1509,13270,13360,13255,13345,13305,20370,79410
